iter,f0,f1,f2
    400,    0.9625300000,    0.0000000000,    0.0374700000
    401,    0.9628400000,    0.0000000000,    0.0371600000
    402,    0.9627900000,    0.0000000000,    0.0372100000
    403,    0.9626200000,    0.0000000000,    0.0373800000
    404,    0.9625000000,    0.0000000000,    0.0375000000
    405,    0.9625900000,    0.0000000000,    0.0374100000
    406,    0.9632700000,    0.0000000000,    0.0367300000
    407,    0.9634100000,    0.0000000000,    0.0365900000
    408,    0.9634400000,    0.0000000000,    0.0365600000
    409,    0.9633500000,    0.0000000000,    0.0366500000
    410,    0.9632800000,    0.0000000000,    0.0367200000
    411,    0.9634600000,    0.0000000000,    0.0365400000
    412,    0.9640300000,    0.0000000000,    0.0359700000
    413,    0.9644300000,    0.0000000000,    0.0355700000
    414,    0.9649300000,    0.0000000000,    0.0350700000
    415,    0.9649900000,    0.0000000000,    0.0350100000
    416,    0.9649700000,    0.0000000000,    0.0350300000
    417,    0.9650400000,    0.0000000000,    0.0349600000
    418,    0.9646900000,    0.0000000000,    0.0353100000
    419,    0.9644500000,    0.0000000000,    0.0355500000
    420,    0.9644700000,    0.0000000000,    0.0355300000
    421,    0.9645600000,    0.0000000000,    0.0354400000
    422,    0.9643800000,    0.0000000000,    0.0356200000
    423,    0.9642400000,    0.0000000000,    0.0357600000
    424,    0.9640400000,    0.0000000000,    0.0359600000
    425,    0.9641100000,    0.0000000000,    0.0358900000
    426,    0.9643400000,    0.0000000000,    0.0356600000
    427,    0.9644700000,    0.0000000000,    0.0355300000
    428,    0.9645300000,    0.0000000000,    0.0354700000
    429,    0.9649800000,    0.0000000000,    0.0350200000
    430,    0.9651300000,    0.0000000000,    0.0348700000
    431,    0.9650100000,    0.0000000000,    0.0349900000
    432,    0.9648500000,    0.0000000000,    0.0351500000
    433,    0.9646300000,    0.0000000000,    0.0353700000
    434,    0.9649800000,    0.0000000000,    0.0350200000
    435,    0.9643700000,    0.0000000000,    0.0356300000
    436,    0.9642100000,    0.0000000000,    0.0357900000
    437,    0.9646400000,    0.0000000000,    0.0353600000
    438,    0.9646300000,    0.0000000000,    0.0353700000
    439,    0.9649400000,    0.0000000000,    0.0350600000
    440,    0.9648800000,    0.0000000000,    0.0351200000
    441,    0.9646200000,    0.0000000000,    0.0353800000
    442,    0.9643900000,    0.0000000000,    0.0356100000
    443,    0.9648300000,    0.0000000000,    0.0351700000
    444,    0.9647600000,    0.0000000000,    0.0352400000
    445,    0.9647300000,    0.0000000000,    0.0352700000
    446,    0.9648100000,    0.0000000000,    0.0351900000
    447,    0.9646600000,    0.0000000000,    0.0353400000
    448,    0.9646700000,    0.0000000000,    0.0353300000
    449,    0.9646800000,    0.0000000000,    0.0353200000
    450,    0.9650800000,    0.0000000000,    0.0349200000
    451,    0.9652000000,    0.0000000000,    0.0348000000
    452,    0.9649300000,    0.0000000000,    0.0350700000
    453,    0.9649300000,    0.0000000000,    0.0350700000
    454,    0.9649100000,    0.0000000000,    0.0350900000
    455,    0.9652900000,    0.0000000000,    0.0347100000
    456,    0.9653600000,    0.0000000000,    0.0346400000
    457,    0.9652800000,    0.0000000000,    0.0347200000
    458,    0.9650500000,    0.0000000000,    0.0349500000
    459,    0.9657000000,    0.0000000000,    0.0343000000
    460,    0.9658700000,    0.0000000000,    0.0341300000
    461,    0.9656900000,    0.0000000000,    0.0343100000
    462,    0.9659100000,    0.0000000000,    0.0340900000
    463,    0.9658700000,    0.0000000000,    0.0341300000
    464,    0.9658500000,    0.0000000000,    0.0341500000
    465,    0.9659100000,    0.0000000000,    0.0340900000
    466,    0.9662700000,    0.0000000000,    0.0337300000
    467,    0.9666800000,    0.0000000000,    0.0333200000
    468,    0.9666700000,    0.0000000000,    0.0333300000
    469,    0.9668700000,    0.0000000000,    0.0331300000
    470,    0.9668600000,    0.0000000000,    0.0331400000
    471,    0.9669900000,    0.0000000000,    0.0330100000
    472,    0.9670800000,    0.0000000000,    0.0329200000
    473,    0.9673300000,    0.0000000000,    0.0326700000
    474,    0.9673000000,    0.0000000000,    0.0327000000
    475,    0.9670600000,    0.0000000000,    0.0329400000
    476,    0.9670500000,    0.0000000000,    0.0329500000
    477,    0.9670900000,    0.0000000000,    0.0329100000
    478,    0.9669400000,    0.0000000000,    0.0330600000
    479,    0.9667400000,    0.0000000000,    0.0332600000
    480,    0.9662300000,    0.0000000000,    0.0337700000
    481,    0.9661300000,    0.0000000000,    0.0338700000
    482,    0.9660700000,    0.0000000000,    0.0339300000
    483,    0.9660900000,    0.0000000000,    0.0339100000
    484,    0.9654400000,    0.0000000000,    0.0345600000
    485,    0.9660000000,    0.0000000000,    0.0340000000
    486,    0.9657700000,    0.0000000000,    0.0342300000
    487,    0.9656300000,    0.0000000000,    0.0343700000
    488,    0.9655600000,    0.0000000000,    0.0344400000
    489,    0.9652100000,    0.0000000000,    0.0347900000
    490,    0.9649700000,    0.0000000000,    0.0350300000
    491,    0.9650200000,    0.0000000000,    0.0349800000
    492,    0.9647400000,    0.0000000000,    0.0352600000
    493,    0.9647200000,    0.0000000000,    0.0352800000
    494,    0.9650200000,    0.0000000000,    0.0349800000
    495,    0.9646000000,    0.0000000000,    0.0354000000
    496,    0.9644000000,    0.0000000000,    0.0356000000
    497,    0.9645600000,    0.0000000000,    0.0354400000
    498,    0.9645200000,    0.0000000000,    0.0354800000
    499,    0.9639800000,    0.0000000000,    0.0360200000
    500,    0.9638700000,    0.0000000000,    0.0361300000
    501,    0.9636500000,    0.0000000000,    0.0363500000
    502,    0.9637900000,    0.0000000000,    0.0362100000
    503,    0.9636700000,    0.0000000000,    0.0363300000
    504,    0.9636000000,    0.0000000000,    0.0364000000
    505,    0.9637000000,    0.0000000000,    0.0363000000
    506,    0.9636500000,    0.0000000000,    0.0363500000
    507,    0.9637000000,    0.0000000000,    0.0363000000
    508,    0.9636600000,    0.0000000000,    0.0363400000
    509,    0.9637700000,    0.0000000000,    0.0362300000
    510,    0.9636600000,    0.0000000000,    0.0363400000
    511,    0.9638500000,    0.0000000000,    0.0361500000
    512,    0.9642000000,    0.0000000000,    0.0358000000
    513,    0.9638000000,    0.0000000000,    0.0362000000
    514,    0.9640200000,    0.0000000000,    0.0359800000
