pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.2,0.4,0.167668083,0.2606634056,0.5716685114,0.0651605383,0.1034158948,0.1142630551,0.0503417003,0.3079698516,0.3697065019,0.1528129838,0.3072532159,0.2013059847,0.5787351631,0.3067998307,0.3827667353,0.2102173526
0.2,0.45,0.1612782519,0.2439365159,0.5947852323,0.0641558843,0.1036632853,0.115321092,0.1069122005,0.3100667155,0.4007176777,0.1587275212,0.3467372953,0.2142623677,0.6094119327,0.3347385603,0.3893417714,0.2203263103
0.2,0.5,0.154776663,0.2319437998,0.6132795373,0.0628489766,0.1068749189,0.1186536218,0.1493919377,0.3207328296,0.428507873,0.1629148345,0.3838777915,0.2248728343,0.6416602482,0.3635540095,0.3957038573,0.2326190624
0.2,0.55,0.1486299854,0.2127103938,0.6386596208,0.0622144443,0.1067682237,0.1198829265,0.2132388331,0.3221353685,0.464829864,0.1666467709,0.4345662855,0.2332632512,0.6771376034,0.4048246102,0.4027985109,0.2420656595
0.2,0.6,0.1423265612,0.1963280608,0.6613453779,0.0610011071,0.1075599917,0.1204090631,0.2686892563,0.3247578608,0.4976539794,0.1690132493,0.4804441747,0.2403371105,0.713584104,0.4441952777,0.4074177479,0.2522511853
0.2,0.65,0.1369182704,0.1750208876,0.6880608419,0.0598184318,0.1046487668,0.1176721925,0.3380190667,0.3163730891,0.5358253294,0.1679083146,0.5348775051,0.2418519995,0.7473932537,0.4935665063,0.4078023523,0.2588545665
0.2,0.7,0.131545328,0.1522112329,0.7162434391,0.0584652625,0.102300605,0.1160929915,0.4118209733,0.3104655487,0.5773370943,0.1665191063,0.595183347,0.2425219712,0.7808764646,0.5545811506,0.4086233523,0.2605796412
0.2,0.75,0.1264123255,0.1304816653,0.7431060092,0.0576538403,0.0997896429,0.1147800094,0.4821426786,0.3043406941,0.6163975078,0.1673076048,0.6524968612,0.2455034812,0.815250014,0.6134878525,0.4105939156,0.2645609021
0.2,0.8,0.1215510408,0.1021573178,0.7762916414,0.0561808714,0.0910076176,0.1065026528,0.5719770057,0.2782268559,0.665396151,0.1565959015,0.7249745873,0.2308110707,0.8480818571,0.6935190692,0.4069681594,0.2485811083
0.2,0.85,0.1164398186,0.0817106438,0.8018495376,0.0553921988,0.0874456336,0.1036621969,0.6384282501,0.2682934864,0.7039922162,0.1510519135,0.7824504515,0.2231567037,0.8847584022,0.7555269346,0.406162218,0.238849513
0.2,0.9,0.1118863141,0.0537365659,0.83437712,0.0542409195,0.0706311499,0.0897516201,0.7269039883,0.2195779161,0.7516604777,0.1341988606,0.8530983872,0.1997185409,0.9169858046,0.8349080077,0.4033639739,0.2072564668
0.2,0.95,0.1071592816,0.0270807298,0.8657599886,0.0531840685,0.0518320828,0.0744652597,0.8115985289,0.1646132536,0.7987845896,0.1108646015,0.923492159,0.1651805786,0.9518350004,0.9170042183,0.399112434,0.1505392758
0.25,0.05,0.1852758239,0.3311336452,0.4835905309,0.0660537242,0.0819715512,0.0865781604,-0.1786767594,0.2325449544,0.24592584,0.108009653,0.1644729267,0.1224178122,0.5908628106,0.1979305174,0.4326469133,0.1460858473
0.25,0.1,0.1806523369,0.3243942586,0.4949534045,0.0654281352,0.0838181018,0.0898944117,-0.1538351127,0.2404873784,0.2611020459,0.1136286858,0.1734993218,0.1298030358,0.5916139386,0.2030795873,0.4298055472,0.1506887936
0.25,0.15,0.1765237262,0.319347306,0.5041289678,0.0651824074,0.0857858237,0.09226787,-0.1345656443,0.2473819564,0.2740288142,0.1172637045,0.1831716228,0.1348771846,0.5983083177,0.2104359624,0.4299278913,0.1539806946
0.25,0.2,0.1720573428,0.3146174171,0.5133252401,0.064877681,0.0898941686,0.0968740845,-0.115909594,0.2611920884,0.288274717,0.1231208126,0.197131616,0.1451382932,0.6067680448,0.2226004213,0.4329712814,0.1622660655
0.25,0.25,0.1668800657,0.3067268897,0.5263930446,0.0638561105,0.091576656,0.0988824433,-0.0870607348,0.2673868184,0.3051090799,0.1286566685,0.2112485923,0.1544120612,0.6150317684,0.2317206413,0.4334453369,0.1677892289
0.25,0.3,0.1625700718,0.2990716607,0.5383582676,0.0633214577,0.0937102227,0.1018025341,-0.0597850537,0.275248413,0.3219600457,0.1333559323,0.228499055,0.1643336763,0.6281008695,0.2432170529,0.4363924281,0.1744840326
